Employment,PreviousSalary,YearsCode,ComputerSkills,Employed,Lang_AWS,Lang_Bash/Shell,Lang_C#,Lang_Docker,Lang_Git,Lang_HTML/CSS,Lang_Java,Lang_JavaScript,Lang_Microsoft SQL Server,Lang_MySQL,Lang_Node.js,Lang_Other,Lang_PostgreSQL,Lang_Python,Lang_React.js,Lang_SQL,Lang_TypeScript,Age (>35),edlevel_encoded
1,51552.0,7,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,3
1,46482.0,12,12,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,2
1,77290.0,15,7,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
1,46135.0,9,13,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2
0,160932.0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4
1,38915.0,9,5,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,3
1,77831.0,26,17,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,3
1,81319.0,14,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3
1,68507.0,39,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2
1,37752.0,20,6,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,3
1,122580.0,4,18,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,2
1,11832.0,6,13,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,2
1,60535.0,19,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,3
1,103000.0,8,7,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2
1,25944.0,6,5,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3
1,60480.0,22,16,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,2
1,20556.0,7,5,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1,25944.0,12,25,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,2
1,64630.0,34,14,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,3
1,54049.0,21,17,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,3
1,22644.0,5,12,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
1,71850.0,25,6,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1,58373.0,20,7,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,3
1,129266.0,24,12,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,2
1,25944.0,10,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3
1,105000.0,25,6,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,2
1,45564.0,12,39,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
1,151263.0,10,8,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,4
1,40500.0,10,8,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,2
0,43908.0,12,24,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2
1,42336.0,25,21,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,3
1,95295.0,31,10,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
1,100000.0,18,8,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4
1,61398.0,26,10,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,2
1,108098.0,20,17,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1
1,27336.0,10,21,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,2
1,5216.0,10,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
0,151337.0,8,11,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,3
0,24648.0,18,18,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
